Code,Service District Code,Municipality,FY 2018 Mill Rate,FY 2018 Mill Rate - Real & Personal Property (PA 17-2 S. 699 June SS),FY 2018 Mill Rate - Motor Vehicle          (PA 17-2 S. 699 June SS)
112,2,Pomfret Fire District,1,,
113,0,Portland,,32.98,32
114,0,Preston,24,,
115,0,Prospect,31.25,,
116,0,Putnam,20,,
116,1,Putnam - Special Service Dist.,9.4,,
116,2,Putnam West Putnam District,1,,
116,3,Putnam East Putnam District,1.8,,
117,0,Redding,29.62,,
117,1,Redding Fire District 1,0.83934,,
117,2,Redding Fire District 2,,,
117,3,Redding Georgetown FD,1.5134,,
118,0,Ridgefield,27.21,,
119,0,Rocky Hill,31.6,,
120,0,Roxbury,14.2,,
121,0,Salem,32.2,,
122,0,Salisbury,11.1,,
123,0,Scotland,,38.68,32
124,0,Seymour,36,,
125,0,Sharon,14.7,,
126,0,Shelton,22.21,,
127,0,Sherman,20.33,,
128,0,Simsbury,,38.76,31
128,1,Simsbury - Fire District,,1.23,1
128,2,Simsbury + Fire District,,39.99,32
129,0,Somers,25.47,,
130,0,Southbury,29.3,,
131,0,Southington,30.48,,
132,0,South Windsor,,38.08,37
133,0,Sprague,32,,
134,0,Stafford,33.93,,
134,1,"Stafford, Special Service District",2.26,,
135,0,Stamford Motor Vehicles,27.25,,
135,1,"Stamford ""A""",26.89,,
135,2,"Stamford ""B""",26.41,,
135,3,"Stamford ""C""",25.59,,
135,4,"Stamford ""CS""",26,,
135,5,Stamford Pprop Other than MV,26.89,,
136,0,Sterling,31.8,,
136,1,"Sterling, Fire District",2,,
137,0,Stonington,22.98,,
137,1,Stonington Mystic FD #239,1.82,,
137,2,Stonington Pawcatuck FD #264,1.64,,
137,3,Stonington Quiambaug FD #378,1.05,,
137,4,Stonington FD #265,0.7,,
137,5,Stonington Wequetequock FD #379,,,
137,6,Stonington Old Mystic FD #366,2.95,,
137,7,Stonington Lords Point Assoc.,2.23,,
137,8,Stonington Mason's Island,1.63,,
137,9,Stonington Wamphassuk Point Assoc. - Fire District,0.47,,
137,10,Stonington Latimer Point,2.21,,
138,0,Stratford,,39.97,39
139,0,Suffield,28.89,,
140,0,Thomaston,35.05,,
141,0,Thompson,27,,
142,0,Tolland,34.48,,
143,0,Torrington,,45.75,39
144,0,Trumbull,,33.39,32
144,1,Trumbull Long Hill FD,0.825,,
144,2,Trumbull Center FD,,,
144,3,Trumbull Nichols FD,1.113,,
145,0,Union,30.84,,
146,0,Vernon,38.71,,37
147,0,Voluntown,29.45,,
148,0,Wallingford,28.55,,
149,0,Warren,14.5,,
150,0,Washington,14.25,,
151,0,Waterbury,,60.21,37
152,0,Waterford,27.03,,
153,0,Watertown,31.88,,
154,0,Westbrook,24.37,,
155,0,West Hartford,,41.04,32
156,0,West Haven,,35.26,37
156,1,"West Haven, First Center only",,10.4,2
156,0,"West Haven, West Shore (2d) only",,9.879,2
156,0,"West Haven, Allingtown (Third) only",,12.52,0
157,0,Weston,28.91,,
157,1,Weston - Georgetown FD,1.4637,,
158,0,Westport,16.86,,
159,0,Wethersfield,,39.77,39
160,0,Willington,30.09,,
161,0,Wilton,27.7685,,
161,,Wilton - Georgetown FD,1.5679,,
162,0,Winchester,33.54,,
163,0,Windham,36.65,,
163,1,"Windham, Special Service Dist. #2",,10.96,2.35
163,2,Windham 1st Taxing District,1.88,,
164,0,Windsor,,32.45,32
164,1,"Windsor, Wilson Fire District",3,,
164,2,"Windsor, Windsor Fire District",2,,
165,0,Windsor Locks,26.66,,
166,0,Wolcott,31.27,,
167,0,Woodbridge,,39.44,32
168,0,Woodbury,27.16,,
169,0,Woodstock,24.3,,
169,1,Woodstock - Lake Bunggee Tax Dist.,4.24,,
601,0,Borough of Bantam (Litchfield),1.5,,
603,0,Borough of Danielson,4.95,,
604,0,Borough of Fenwick (Old Saybrook),3.43,,
606,0,Borough of Jewett City (Griswold),3.33,,
607,0,Borough of Litchfield,1.6,,
608,0,Borough of Newtown,0.85,,
610,0,Borough of Stonington #372,,,
611,0,Borough of Woodmont (Milford),,,
